Maximum,Membership,Maxed_Value,Generic_Value,Generic_Utlization,Preferred_Value,Preferred_Utilization,Non_Preferred_Value,Non_Preferred_Utilization,Specialty_Value,Specialty_Utilization
2700,30218,606.9197151,152.7184894,5.177698695,171.9950835,1.338037484,43.74169085,0.264237043,0.229596316,0.001145951
2800,29067,616.7697765,154.5811129,5.210051108,178.6634446,1.384028747,45.10753026,0.269858837,0.261429899,0.001192808
2900,27881,626.2284545,156.0980826,5.239391995,184.7171293,1.425269552,46.29784874,0.274582363,0.276736098,0.001198961
3000,26879,635.3795802,157.7829888,5.26918978,190.8754804,1.467163948,47.60707146,0.279588413,0.275663767,0.00119309
3100,25892,644.2093268,159.3473843,5.295108061,197.1430609,1.512053782,48.773605,0.284385136,0.298090476,0.001212168
3200,24947,652.707177,160.7207488,5.319317563,203.4511665,1.555159088,50.12814895,0.28984999,0.316090872,0.00121864
3300,24049,660.9050465,162.1177533,5.344342229,209.8364851,1.600118635,51.12240439,0.293662715,0.340173733,0.001250143
3400,23190,668.8309207,163.4442771,5.367581429,215.4179066,1.638288382,52.18230758,0.297821698,0.348135552,0.00126618
3500,22434,676.4797654,164.5915993,5.387206796,221.1809712,1.677128139,53.41236636,0.302565567,0.38521486,0.001297897
3600,21669,683.8934528,165.7676763,5.408227833,226.5613663,1.713562242,54.4281981,0.306339633,0.403630754,0.001342001
3700,20989,691.041886,166.7423581,5.424401019,232.9047334,1.757666279,55.54288136,0.310724066,0.408856628,0.001346258
3800,20254,697.9468846,167.5726469,5.438535187,238.5742029,1.796931707,56.5479115,0.314612063,0.418629122,0.001348167
3900,19614,704.6480257,168.4597674,5.455393431,243.8362245,1.831744607,57.72197218,0.318933915,0.432882368,0.001354349
4000,19009,711.1600371,169.3982246,5.470492752,248.9023466,1.865212457,58.66791162,0.32251965,0.454603223,0.001361613
4100,18448,717.4741524,170.2345532,5.483392208,253.783567,1.896134823,59.73357968,0.326610941,0.475778827,0.001380078
4200,17916,723.6320792,171.2724632,5.499891532,258.9495105,1.928862972,60.64999957,0.330343829,0.502108053,0.001386173
4300,17378,729.5794866,172.0929672,5.513622532,264.071174,1.962653272,61.52031513,0.333921363,0.552607889,0.00142433
4400,16868,735.3499099,172.8432486,5.527090633,269.225764,1.996309472,62.32253902,0.33677533,0.577872401,0.001466602
4500,16374,740.9503997,173.5459628,5.538844821,274.0885432,2.026484902,63.26151614,0.340129095,0.608670163,0.001492727
4600,15906,746.3885034,174.1692534,5.549597472,278.7477346,2.055437699,64.15841026,0.343420885,0.638748163,0.001510089
4700,15464,751.6797239,174.7599237,5.559911158,283.3954298,2.085847527,64.99500092,0.346535473,0.657820499,0.001521235
4800,15045,756.8234389,175.2937216,5.568025942,288.0550596,2.116035006,65.78308219,0.349609131,0.66581385,0.001536292
4900,14653,761.8437417,175.899913,5.576987594,292.5959714,2.144373893,66.66614678,0.352808173,0.687471617,0.001541404
5000,14247,766.7273416,176.4789844,5.585741356,297.0975555,2.172962332,67.46475037,0.355971499,0.75410609,0.001583286
5100,13857,771.472366,177.0213852,5.595627892,301.8950783,2.203149398,68.29521244,0.358990343,0.768025146,0.001587773
5200,13466,776.090755,177.5799987,5.604001139,306.7648114,2.233517838,69.09288055,0.361934664,0.802204772,0.001593063
5300,13070,780.5767128,178.174026,5.613623785,311.608403,2.263296169,69.83074763,0.364613484,0.828787391,0.001602942
5400,12689,784.9287317,178.6776351,5.62081753,315.999648,2.289836519,70.70960709,0.367518788,0.905479922,0.001657069
5500,12335,789.160663,179.1349579,5.627706731,320.4372247,2.315767468,71.54410145,0.370435895,0.973477219,0.001716261
5600,11994,793.2753015,179.58683,5.635384215,325.0476936,2.343683935,72.50140074,0.373770052,1.006576535,0.001728145
5700,11647,797.2890188,180.1619648,5.644198756,329.4147337,2.368387002,73.16673503,0.375817794,1.080758667,0.001790631
5800,11319,801.191448,180.712254,5.651969332,333.7714088,2.393696641,73.818465,0.377948862,1.113438309,0.001804816
5900,11009,804.9699332,181.0806713,5.657737816,337.6488913,2.416192919,74.59486611,0.380455463,1.134283176,0.001829751
6000,10723,808.6492163,181.3983943,5.661336943,341.4862698,2.438945378,75.31180236,0.382663853,1.23606952,0.001882225
6100,10455,812.2411124,181.7333016,5.666520252,345.0604239,2.460419486,75.99522994,0.384900862,1.262524756,0.001900314
6200,10208,815.7668764,182.2211496,5.673847272,349.1780039,2.484306761,76.66670033,0.387173477,1.323331771,0.001964313
6300,9938,819.1823221,182.5635097,5.680199892,352.903126,2.505624496,77.35327941,0.389269319,1.349427534,0.001985892
6400,9699,822.5160153,182.9289715,5.68616672,356.7717947,2.528457495,78.04480817,0.391450765,1.391695968,0.002013734
6500,9450,825.7633793,183.2524304,5.690090375,360.2138229,2.550267412,78.76425117,0.393830071,1.410830306,0.002023341
7500,9219,854.3014694,186.1951837,5.733685208,393.3419041,2.738736247,85.01036625,0.412987211,1.967235699,0.002436481
10000,7251,903.3379845,190.6847421,5.801624263,452.2042787,3.048467145,97.40957083,0.449633399,3.449321348,0.003241849
15000,4382,957.2760973,194.6079568,5.854973855,512.2247961,3.321419291,108.6527394,0.478789886,8.042267646,0.005395726
20000,2303,989.3406664,196.7707632,5.884245715,539.7651692,3.427214584,114.5532733,0.491659932,15.05117537,0.008206932
25000,1546,1011.99963,198.0254433,5.89849438,553.9504908,3.468017828,117.8340043,0.497307543,24.23866618,0.011973025
30000,1169,1028.644187,198.8060173,5.911392126,567.6409065,3.495211933,121.0869476,0.500993041,36.92627696,0.016678008
35000,833,1040.13647,199.4550738,5.922793602,575.9766112,3.509707217,124.4163309,0.504210244,50.27874614,0.021232665
40000,584,1048.43736,199.9561898,5.928517324,582.7411341,3.522453828,125.9932239,0.50583832,59.00272505,0.023942045
45000,441,1054.938214,200.0976431,5.930362809,585.3725941,3.526053232,126.8340929,0.506492208,63.36353926,0.025274244
50000,381,1060.340312,200.3750633,5.93270083,590.1571478,3.531332859,127.8294977,0.507224243,72.35756392,0.027465587
100000,281,1075.751079,201.5929772,5.939159313,602.589667,3.545722337,131.8300524,0.509928336,103.5065587,0.034000005
200000,38,1080.094493,202.0996261,5.940884261,604.157042,3.547042808,133.6852703,0.510388369,110.946535,0.034849454
300000,8,1081.615427,202.1034379,5.940921047,604.4136756,3.547188455,133.6894908,0.510412238,111.5886396,0.034886707
400000,6,1082.814803,202.1063984,5.940956421,605.2226812,3.547255242,133.6891293,0.510410975,112.3529025,0.034926421
500000,4,1083.490013,202.1060431,5.940944857,605.247739,3.547311578,133.6942802,0.510447413,114.5587975,0.03500165
1000000,2,1084.077758,202.1074437,5.940963347,605.2477077,3.54731928,133.693886,0.510446059,117.368721,0.03507502
2000000,0,1084.077758,202.1074437,5.940963347,605.2477077,3.54731928,133.693886,0.510446059,117.368721,0.03507502
