Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization,
7500,369659,3146.51933,136.063476,0.125475703,16.58578326,0.005779763,204.8754102,1.358278253,126.9014661,0.799140043,53.19254495,0.404595904,67.77584806,0.105859216,1.003137655,0.009431848,85.98407678,1.87310894,174.3622646,2.083007812,106.1889587,3.097896948,100.7399027,0.74344054,0,0,159.7530139,4.623355981,374.5964403,2.315166105,48.80471868,0.19651828,1.160908524,0.002883317,1.160908524
10000,325326,3603.523148,166.5195829,0.139094447,29.16247693,0.007829832,216.849535,1.439463303,142.5851532,0.899727963,64.30133933,0.48397084,90.24300627,0.136393754,1.4961341,0.013387484,106.0828057,2.255879996,190.3966348,2.213993932,122.0439296,3.427811662,119.5358772,0.847960599,0.00717054,2.54E-06,173.3567803,4.901658965,465.8693898,2.784065673,59.62168434,0.229060749,2.366976976,0.0042561,2.366976976
15000,245685,4231.205142,211.0375278,0.156734869,96.03117889,0.015449525,230.0092755,1.529615541,161.856208,1.020529166,77.23742622,0.575989914,121.5557729,0.177948244,2.064991992,0.017832874,133.9081788,2.753856197,207.2476162,2.369253232,143.1171859,3.857612528,146.7351464,0.994167035,0.022915707,8.12E-06,188.9216659,5.224551938,586.5508011,3.353825679,74.20616825,0.271445766,5.710811821,0.007015704,5.710811821
20000,153805,4639.766607,240.9294385,0.167402793,181.4601557,0.023023362,236.996156,1.576565291,173.2259653,1.089820587,84.5775915,0.62781364,141.9022852,0.204578963,2.323422766,0.019733225,152.1717785,3.060296089,215.7327966,2.458584075,156.6576487,4.134150199,165.8893591,1.091885832,0.049937961,1.59E-05,197.5764732,5.411560269,658.7684896,3.667147694,83.26512415,0.296052546,10.81476558,0.009950499,10.81476558
25000,104826,4926.646697,261.8228396,0.174902949,261.5463705,0.029055857,241.4543548,1.60607788,180.6245959,1.133966541,89.29161675,0.660800465,155.9035424,0.222249548,2.615475715,0.021960109,164.6287473,3.250528961,220.7616073,2.513622423,166.2382905,4.320162807,179.6992446,1.160207546,0.084745645,2.83E-05,203.3662655,5.532326965,705.6034709,3.862972204,89.01765778,0.311224517,17.43926072,0.013078621,17.43926072
30000,76226,5140.127761,276.5986637,0.179915517,331.2068393,0.033596839,244.369812,1.624913878,185.8768988,1.163472406,92.52527222,0.68302305,165.5437559,0.234634483,2.841406728,0.023511517,173.8520137,3.382641838,223.7790536,2.548989159,173.0986969,4.453360557,189.7027502,1.208636351,0.16401865,4.66E-05,207.3345149,5.617850253,738.6347029,3.987670545,93.15537151,0.321064365,27.21971726,0.017260003,27.21971726
35000,58387,5306.506473,287.9828855,0.183633504,393.4900877,0.037255258,246.476671,1.637659457,189.9524555,1.184381233,94.69741874,0.697895764,172.5074232,0.243475935,2.977620776,0.024442834,179.9752928,3.463907006,225.9428015,2.572980093,178.1783642,4.552991099,197.2261095,1.244120633,0.228789315,6.12E-05,210.2318098,5.679973191,762.2169671,4.06964947,96.56437128,0.328136781,40.43453566,0.022309578,40.43453566
40000,46280,5439.845742,296.4910517,0.186471263,451.4425249,0.040314977,247.995932,1.646930485,193.106125,1.200312779,96.27196948,0.708197476,177.8793201,0.250380945,3.131955335,0.025746031,184.7298835,3.526371588,227.4769312,2.589929087,182.1231144,4.626701532,203.2606653,1.27098959,0.325960929,7.93E-05,212.5662468,5.729395325,780.1057139,4.131463329,98.7804188,0.332862645,52.49967198,0.026644121,52.49967198
45000,37697,5549.814777,303.2945691,0.188711878,502.2280835,0.042739236,249.1978514,1.654361822,195.6372877,1.212728435,97.37242526,0.715751476,182.4271082,0.256172482,3.243977698,0.026274624,188.6555889,3.571799476,228.6494206,2.602609101,185.2171659,4.686067228,208.6414911,1.293371868,0.504075186,0.00011785,214.252117,5.76671544,794.3405024,4.178147049,100.5269671,0.336156542,61.78388191,0.029828829,61.78388191
50000,31448,5641.895253,308.36183,0.190298849,551.4542509,0.044926093,250.0883067,1.659810067,197.7174961,1.222248146,98.19409662,0.721199928,185.9632324,0.260749646,3.32285979,0.026800917,191.8339682,3.609351694,229.5600875,2.612393701,187.6624399,4.731998341,213.0395372,1.311532002,0.780692743,0.000169354,215.7053363,5.797068741,805.6516885,4.214919971,102.035972,0.338994493,70.76109387,0.032486872,70.76109387
100000,26615,6095.935742,331.1541504,0.197363217,853.5215897,0.055600564,254.362651,1.682533747,209.0636557,1.266312638,101.706316,0.741844965,206.7430774,0.286623664,3.714491419,0.029631291,204.3487145,3.740251604,233.118601,2.653123812,199.8478944,4.960825776,246.2987474,1.412357069,3.295744571,0.000538462,222.3414498,5.925926903,856.1811204,4.375227084,108.5695685,0.349737067,127.0172915,0.046524681,127.0172915
200000,7666,6352.24174,341.2910094,0.200477112,1061.439709,0.060980759,256.803768,1.691006039,216.9120327,1.283839681,102.7170138,0.747781675,220.1360671,0.30309828,3.897674183,0.030733719,207.7652683,3.765769513,234.4860421,2.669555324,207.1044079,5.092900021,272.4949172,1.466477675,5.278357874,0.000757755,225.4573329,5.978495583,871.3017272,4.421696266,110.9547324,0.353082393,143.3564078,0.049905451,143.3564078
300000,2078,6441.096392,344.3604389,0.201431019,1137.491099,0.062573156,257.8361603,1.692964069,219.3614548,1.288397225,102.8072281,0.748329747,224.7564268,0.30865913,3.986692427,0.03125959,208.6854067,3.770073011,234.8087243,2.674272356,209.7855945,5.141838996,280.5072559,1.480722479,6.419979127,0.00087267,226.4796252,5.991669577,875.1176451,4.431296527,111.4684483,0.353753012,148.8768212,0.05097388,148.8768212
400000,896,6482.320784,345.6355482,0.201754722,1190.110217,0.063503296,258.064489,1.693698782,220.9036332,1.290447701,102.8472861,0.748553195,226.9288042,0.311321303,4.005744641,0.031399537,208.8847015,3.771481851,234.9705625,2.676653495,211.4130512,5.168674436,283.9644028,1.486784247,6.868569429,0.000932641,226.9929979,5.997477786,877.2875634,4.435136589,111.7003972,0.353996339,150.8172649,0.051361796,150.8172649
500000,432,6504.416817,345.972868,0.201854425,1215.643958,0.063882002,258.161158,1.693985748,221.1905208,1.291325222,102.8485157,0.748562424,228.0114731,0.312499999,4.06997079,0.03146523,208.9617367,3.771798436,235.0394113,2.67755877,212.0993464,5.178780417,285.7928941,1.489175835,7.434852578,0.000984187,227.3309996,5.999779474,878.203576,4.436923673,111.7572508,0.354099618,152.5466277,0.051593402,152.5466277
1000000,248,6536.009682,346.7697052,0.202071189,1266.838408,0.064467081,258.2454864,1.694270015,221.4569908,1.2923263,102.8695301,0.748709585,229.0062307,0.31356213,4.127973655,0.0317055,209.572705,3.772433978,235.1356038,2.679193819,213.2861103,5.195026765,287.2719461,1.491861755,8.052908775,0.001043034,227.9079453,6.002825408,879.2601514,4.439161361,111.8452007,0.354232096,153.9749037,0.051817233,153.9749037
2000000,34,6542.789934,346.8426947,0.202086834,1284.831467,0.064569847,258.2509565,1.694292943,221.4759221,1.292427671,102.8724524,0.74872407,229.0925858,0.313638948,4.127726298,0.031703513,209.5740215,3.772468748,235.1455073,2.67931573,213.3827114,5.196324908,287.3020052,1.492011421,8.127102027,0.001054303,227.9310533,6.003067588,879.6706363,4.43949091,112.0606901,0.354278261,154.0565058,0.051834453,154.0565058
Unlimited,2,6543.474699,346.850463,0.202088753,1287.535602,0.06458068,258.2506199,1.694290737,221.4762993,1.292429558,102.8723359,0.748723211,229.0940329,0.313640454,4.127723548,0.031703498,209.573726,3.772463383,235.1493944,2.67935374,213.4216041,5.196883013,287.3093426,1.492026388,8.12708235,0.001054301,227.9401698,6.003106003,879.6936894,4.439530938,112.0605371,0.354278183,154.0562672,0.051834368,154.0562672
