Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization,
1000,1014091,768.3493952,12.15030963,0.026068688,0.02145548,0.000047505,85.75233057,0.567633483,32.6504144,0.205260683,5.260862655,0.044483105,0.663563733,0.00255376,0.011517167,0.000113229,7.005805695,0.173195696,45.02634627,0.743178577,20.85152065,0.888038269,12.05290868,0.146210032,0,0,41.26974526,1.713175721,21.43232833,0.16413672,3.999104736,0.026962174,0.018381924,0.0002027,0.018381924
1100,987252,833.3671176,14.50870482,0.029690279,0.024478539,0.00005011,91.82947909,0.606485061,35.65088046,0.222938251,6.018471743,0.050518005,0.963949966,0.003282391,0.014059035,0.000153433,8.228865565,0.203127852,49.370366,0.809577621,23.46928723,0.974352432,14.00079156,0.164717742,0,0,45.62148289,1.853745023,25.2515379,0.191234956,4.643385057,0.030388329,0.022330056,0.000246119,0.022330056
1200,961781,896.7628384,17.01515434,0.033299252,0.03366693,6.58E-05,97.37479452,0.642177405,38.52679405,0.239823419,6.814734567,0.056938428,1.340271993,0.00405424,0.01573249,0.000164869,9.42328148,0.232133292,53.39733249,0.8711521,25.88069461,1.053895129,15.98913906,0.182787745,0,0,49.72155473,1.984755583,29.44086346,0.221297418,5.298237378,0.033669466,0.02821349,0.000328914,0.02821349
1300,937639,958.4172511,19.40715943,0.036623368,0.042736422,7.52E-05,102.4224477,0.674819763,41.35031284,0.25661702,7.568537507,0.063007639,1.754641132,0.004924323,0.016718425,0.000174781,10.58660088,0.260324675,57.27098503,0.928222566,28.30312883,1.129622096,17.94396355,0.199872741,0,0,53.63729661,2.105686703,34.22788456,0.25577205,6.05217841,0.037248914,0.03294227,0.000379141,0.03294227
1400,914825,1018.53029,21.81320222,0.03973984,0.061176275,9.32E-05,107.2059656,0.705773661,44.04808584,0.272906813,8.381255655,0.06936395,2.257351135,0.005922867,0.027508361,0.000328741,11.70570463,0.286617554,60.92742818,0.980794933,30.6322632,1.201502813,19.80930615,0.21591315,0,0,57.49691657,2.22160859,39.32611417,0.292608561,6.835311794,0.041133714,0.03818318,0.000429678,0.03818318
1500,892999,1077.243498,24.33140717,0.042971616,0.080047515,0.000109012,111.6992763,0.734998044,46.66803299,0.288353742,9.112906502,0.075090697,2.836272529,0.007051458,0.035826817,0.000389958,12.91716579,0.31532242,64.5012579,1.030717996,32.80038581,1.267334957,21.78161344,0.232518552,0,0,61.27829254,2.333916365,44.83707976,0.331676866,7.561222815,0.044648814,0.043657058,0.000498232,0.043657058
1600,871832,1134.390136,26.68902662,0.045854354,0.114174544,0.000139206,115.8705568,0.761906478,49.25467184,0.303906417,9.914590211,0.081331893,3.398530543,0.008173711,0.044565373,0.000462397,14.20626857,0.344631219,67.88352173,1.077825493,34.97872572,1.331338974,23.82976136,0.249262258,0,0,64.71261471,2.43404222,50.43366158,0.371404708,8.374700375,0.048538926,0.048529169,0.000506619,0.048529169
1700,851739,1190.246757,29.12129808,0.048727007,0.153325116,0.000168393,119.820384,0.787373103,51.7598025,0.318938292,10.64405426,0.086951842,4.075888343,0.009509204,0.062111582,0.000652735,15.55138105,0.375544192,71.13748784,1.122952292,37.04978379,1.392611856,25.71505442,0.264532386,0,0,68.14375963,2.529149049,56.18256659,0.411683537,9.231066171,0.052335562,0.052003811,0.000547552,0.052003811
1800,832527,1244.787263,31.51460725,0.051459866,0.204622197,0.000203849,123.4127224,0.810579214,54.13936415,0.333257927,11.39833474,0.09277159,4.816399907,0.011002548,0.069772574,0.000727433,16.84514093,0.405839126,74.29374073,1.165082173,39.16378983,1.454025043,27.65492131,0.279483934,0,0,71.3929914,2.619503927,62.11248018,0.453492538,10.03850248,0.055981229,0.058998995,0.000597844,0.058998995
1900,814204,1298.001614,33.78155969,0.053952838,0.260213567,0.000243509,127.0162993,0.834088839,56.38205674,0.346657437,12.20235051,0.099104043,5.60671694,0.012516908,0.077944123,0.000822043,18.22630522,0.438056695,77.21651754,1.204396313,41.08295779,1.509898877,29.54855457,0.294291144,0,0,74.56419505,2.704244222,68.11401771,0.495167622,10.85626031,0.059667887,0.062622915,0.000632694,0.062622915
