Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
2900,"1,063,553",1368.09334,59.75930729,0.072273532,1.706212412,0.001064361,168.9171635,1.132343878,90.87500626,0.579471564,23.79475181,0.197155312,19.26919919,0.036786717,0.277562598,0.003023734,29.06218824,0.682113465,108.2453671,1.648990147,70.03583395,2.493715037,53.70708693,0.438880704,0,0
3000,"1,038,146",1396.71814,62.23591744,0.074013606,1.895500265,0.001157259,170.3629781,1.141825002,92.46132804,0.58967965,24.43601858,0.20202242,20.64543136,0.038912982,0.301259869,0.003270923,30.33683267,0.709639724,110.6314968,1.665890631,71.43409007,2.526543827,55.39609387,0.448397106,0,0
3100,"1,013,961",1424.730053,64.69167311,0.075694188,2.087616516,0.001248327,171.7826489,1.151143973,94.01700455,0.599644869,25.151064,0.207348971,22.01296604,0.04103447,0.321739211,0.003525829,31.57839306,0.736314797,112.8919241,1.68184202,72.82970784,2.558844862,56.98579778,0.457389808,0,0
3200,"990,841",1452.057361,66.99747169,0.07726779,2.290424014,0.001343101,173.08291,1.159652953,95.51255096,0.609183884,25.85456732,0.21273139,23.37952856,0.043157696,0.334884947,0.003665822,32.77687845,0.762241404,115.1111377,1.696959555,74.15734072,2.588873719,58.61198737,0.466431321,0,0
3300,"969,013",1478.889135,69.36711853,0.078857595,2.525072414,0.001450663,174.3819618,1.16812139,96.93022676,0.61831753,26.50609154,0.21765433,24.78517868,0.045291244,0.35556007,0.003882914,33.96260611,0.787685815,117.2492747,1.711699082,75.47849258,2.618817064,60.19020717,0.475281618,0,0
3400,"947,851",1505.216389,71.76917881,0.08040942,2.752312636,0.00155609,175.6312692,1.176284781,98.37882482,0.62754685,27.14864592,0.222409952,26.16960131,0.04739231,0.378052208,0.004131136,35.20380316,0.814583172,119.4049727,1.726137557,76.80526956,2.648115485,61.75008477,0.483872861,0,0
3500,"927,255",1530.964962,74.08123138,0.081866627,2.989286219,0.001660253,176.8011028,1.183998036,99.77292637,0.636635987,27.8152842,0.227357454,27.53276116,0.049409702,0.39498431,0.004294774,36.35020241,0.838295125,121.4579296,1.739846382,78.08370672,2.676505315,63.31251432,0.492343615,0,0
3600,"907,733",1556.224236,76.39075835,0.083306475,3.244345989,0.001768036,177.9227552,1.191377229,101.08367,0.644823026,28.41669814,0.231826985,28.87024991,0.051441596,0.416698056,0.004526107,37.48266842,0.862509159,123.4928898,1.752895279,79.341072,2.703456,64.7803391,0.500397477,0,0
3700,"888,944",1580.940183,78.60648202,0.084681854,3.504145151,0.001879631,179.0229711,1.198694529,102.3516526,0.652800175,29.06220472,0.23661223,30.2555987,0.053459704,0.437916729,0.004724641,38.66402968,0.887483461,125.4268892,1.765750375,80.52730233,2.729443517,66.23687864,0.508457349,0,0
3800,"870,830",1605.211752,80.83437978,0.086040321,3.764433843,0.00198978,180.0936807,1.205806915,103.5926399,0.660783086,29.63596104,0.240912208,31.64472852,0.055481165,0.454930717,0.004887203,39.81517514,0.911399147,127.35448,1.777939035,81.70149254,2.754934746,67.70097421,0.516206098,0,0
3900,"853,301",1628.983394,82.97905858,0.087324941,4.021340988,0.002097971,181.1026174,1.212540215,104.8107181,0.668566865,30.20573113,0.24506131,33.00952626,0.057463651,0.47288253,0.005073233,40.96283262,0.934714903,129.2313161,1.789709576,82.86873852,2.779824571,69.05644567,0.523737285,0,0
4000,"836,636",1652.349177,85.13614923,0.088543081,4.284983764,0.002206535,182.088462,1.218970735,105.9824955,0.676103125,30.81222486,0.249634723,34.35540611,0.05939304,0.495697909,0.005307208,42.04300186,0.957092717,130.9568061,1.801009624,83.98655967,2.804117822,70.42086537,0.531155278,0,0
4100,"820,587",1675.265247,87.23229648,0.089760032,4.535650654,0.002306214,182.9850273,1.225038324,107.1042848,0.683127495,31.36854718,0.253665431,35.67947052,0.061265324,0.520490401,0.005547625,43.09290646,0.978563994,132.7115208,1.811785526,85.14487941,2.827783062,71.76023025,0.538203602,0,0
4200,"805,045",1697.881333,89.4494735,0.090967752,4.815893666,0.002419992,183.8961831,1.231070613,108.1967478,0.690198774,31.92128174,0.257831514,37.10579563,0.063234193,0.538285452,0.005720789,44.14111926,1.00013377,134.3650641,1.822058042,86.28752405,2.851077072,73.06553872,0.545194588,0,0
