Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
2900,1424400,1631.035246,53.28298235,0.066139056,1.71200023,0.001059496,143.4806056,0.956183709,71.73205118,0.446299025,16.29214509,0.134329542,14.32192329,0.027541296,0.249724953,0.002704399,24.31273574,0.571657537,93.11307236,1.383585915,54.85882923,1.957475855,43.09221169,0.366354441,0,0,103.1432229,3.537198091,113.0421537,0.831720402,27.22025299,0.139512847,0.096995752,0.000686169
3000,1393779,1669.030344,55.5157367,0.067797222,1.893658575,0.001148164,145.3538584,0.968597471,73.25745778,0.45572399,16.86978877,0.138841225,15.39567516,0.029261741,0.264330194,0.002864954,25.36206689,0.594686615,95.24865145,1.404279967,56.18368205,1.993113887,44.5555069,0.375498535,0,0,105.4427692,3.591457865,118.4993194,0.86849431,28.2700881,0.14368566,0.105016354,0.000700517
3100,1364088,1706.304665,57.76184058,0.069404275,2.084593529,0.001239864,147.1340163,0.980529706,74.7223447,0.464885394,17.4738625,0.143442516,16.43872387,0.030908788,0.282002169,0.003043054,26.40537749,0.616894636,97.39846636,1.424095423,57.5209,2.027483468,45.97852698,0.384249371,0,0,107.5457104,3.640760612,123.772493,0.904125848,29.39133408,0.148136719,0.110973546,0.000724722
3200,1335803,1742.747202,59.85117157,0.070883179,2.27626781,0.001329155,148.8542335,0.992044536,76.14435717,0.473940178,18.10189083,0.148404025,17.4026697,0.032453423,0.296923656,0.003217202,27.44523023,0.639743151,99.45514748,1.443023652,58.80380481,2.061434055,47.32225144,0.392544656,0,0,109.564873,3.686900751,129.1496069,0.940787532,30.48231274,0.15233788,0.115656335,0.000761032
3300,1308725,1778.45011,61.86285843,0.072336572,2.502915856,0.001430898,150.4770281,1.002704989,77.52812661,0.482783809,18.67473565,0.152840196,18.4859049,0.03417095,0.310952214,0.003358883,28.42335618,0.660854977,101.5044637,1.461406574,60.06343058,2.093564474,48.64644663,0.400791044,0,0,111.5304762,3.731263999,134.5147188,0.976449135,31.56180985,0.156549397,0.120918342,0.000780693
3400,1282639,1813.599653,63.99539931,0.073791368,2.711943129,0.001527123,152.0803294,1.01352796,78.90994071,0.491238386,19.26497798,0.157302003,19.53180525,0.03581161,0.331340811,0.003563517,29.47185223,0.683258212,103.5026978,1.479226618,61.32789616,2.125688133,50.05789836,0.409154027,0,0,113.4357722,3.775360593,139.9578294,1.012832551,32.60158656,0.160609642,0.127737184,0.000809208
3500,1256911,1848.060326,66.06726756,0.075154421,2.944531402,0.001631922,153.6324775,1.023803408,80.27337236,0.499739849,19.81909221,0.161557216,20.61409067,0.037453977,0.354247987,0.003823244,30.43621663,0.704134377,105.4338442,1.496428217,62.56696587,2.157035397,51.37793925,0.416855866,0,0,115.3465623,3.818356471,145.2241911,1.048005888,33.68759232,0.164707714,0.134511372,0.000827435
3600,1232344,1881.880879,68.11451346,0.076479163,3.182115654,0.001735084,155.1392491,1.033750779,81.54578534,0.507799314,20.39599606,0.165970503,21.68435888,0.039067332,0.374209449,0.004046276,31.44529528,0.725975923,107.3678301,1.513068414,63.78266541,2.187619593,52.71746111,0.424764752,0,0,117.1915548,3.860341823,150.6528178,1.083951052,34.69836347,0.168639542,0.143349873,0.000848738
3700,1208317,1915.048299,70.09796208,0.077821021,3.430264309,0.001841856,156.6071361,1.043581413,82.81296223,0.515761743,20.99654694,0.170620875,22.74766249,0.040688321,0.392424414,0.004264678,32.48322778,0.748558692,109.1673283,1.528774084,64.92237667,2.216669665,53.99488375,0.432389692,0,0,118.9019474,3.899411032,155.8334987,1.118605958,35.73065976,0.17253948,0.149593458,0.000860639
3800,1185425,1947.695544,72.1459169,0.079131631,3.68709699,0.001951246,158.0163683,1.052912644,84.06292569,0.523832234,21.525041,0.174640854,23.85005444,0.042349071,0.40700305,0.004405615,33.47458786,0.769014031,111.0207577,1.544046486,66.06958678,2.245153142,55.27275041,0.439889518,0,0,120.6221934,3.937527422,160.830413,1.151755149,36.7684202,0.176461654,0.159479963,0.000891361
