Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
2900,148475,1572.715852,46.39396426,0.056455339,1.996860095,0.001296532,152.5165183,1.020117064,57.83876393,0.358459822,14.62218324,0.12403307,12.51849232,0.024412941,0.199414301,0.002368033,18.26498473,0.420370587,89.8117361,1.344188491,53.99934719,2.002307947,40.77089288,0.349143988,0,0,120.2710136,4.070325571,112.5367893,0.865844043,35.08774872,0.196591286,0.059432219,0.000522378
3000,145130,1608.391093,48.4555816,0.057867743,2.156853256,0.001371612,154.5951019,1.033927201,59.02560546,0.365727569,15.11361367,0.127590017,13.47766136,0.025876591,0.204409425,0.002436196,19.03048867,0.436472051,91.83038281,1.364309455,55.32237007,2.039241218,41.98448665,0.356921245,0,0,122.8927854,4.127618011,117.9208567,0.904795001,36.4383104,0.202473005,0.064235969,0.000566571
3100,141854,1643.513238,50.69847905,0.059417319,2.354613868,0.001463824,156.417902,1.045564215,60.19781256,0.372854577,15.61914803,0.13156592,14.44160941,0.027376228,0.215808272,0.002531623,19.77742188,0.453491629,93.66315713,1.38280305,56.54128573,2.073410062,43.23736114,0.365136274,0,0,125.1840463,4.181053104,123.2376743,0.943260408,37.81222252,0.208375124,0.069990455,0.000582237
3200,138748,1677.742436,52.73206347,0.060844489,2.535458659,0.00154873,158.1600416,1.057203115,61.40888055,0.381261348,16.09100071,0.135345164,15.48038729,0.028961389,0.227121864,0.002651417,20.38908116,0.466524076,95.55440345,1.399865395,57.67430231,2.104820247,44.67453694,0.373501475,0,0,127.5965883,4.236871041,128.6962866,0.982198295,39.09103338,0.214060871,0.069995829,0.000603547
3300,135748,1711.330648,54.79800475,0.062185671,2.710318366,0.001633205,159.9129365,1.068483135,62.42926107,0.38737825,16.62372172,0.139383754,16.34532264,0.030207385,0.236956611,0.002774823,21.26172942,0.484980615,97.29222893,1.416231756,58.84583881,2.136714439,45.96104199,0.381420612,0,0,129.8949637,4.287872973,134.0415867,1.022357734,40.29424545,0.21931358,0.077193286,0.000639739
3400,132874,1744.041628,56.58601094,0.063412969,2.868172244,0.001703092,161.568828,1.0792267,63.54022152,0.394221801,17.10564513,0.143128667,17.2299202,0.031572792,0.259606709,0.003008754,21.92084229,0.499425451,99.17620432,1.432666829,59.93504081,2.165910064,47.24765016,0.389107271,0,0,132.0874739,4.334835397,139.1024041,1.058203795,41.53186109,0.224453809,0.083427335,0.00068854
3500,130130,1776.187932,58.43672476,0.064604434,3.176632447,0.001839057,163.1828725,1.089770706,64.61920182,0.400954167,17.5493537,0.146548667,18.31751924,0.033209028,0.268495598,0.003064405,22.62133688,0.514590186,100.9585595,1.448868483,61.08760576,2.195797043,48.4420947,0.396048703,0,0,134.271719,4.381334813,144.1995658,1.094683088,42.66869274,0.229445434,0.082686457,0.000682598
3600,127462,1807.824559,60.37514549,0.065759829,3.41561555,0.00194317,164.6873165,1.099632977,65.77988202,0.408136854,18.07142393,0.150716977,19.34370875,0.0347116,0.278248238,0.003171609,23.29656854,0.529124524,102.5777814,1.463056581,62.0709463,2.222623682,49.48899544,0.402988974,0,0,136.1234055,4.42267434,148.9039957,1.127737867,44.23387119,0.235971776,0.082761739,0.000681202
3700,124930,1838.706751,62.09947923,0.066801881,3.653338062,0.002042022,166.1736113,1.109215231,66.7940718,0.414220163,18.51412028,0.15421506,20.13227432,0.035912282,0.302051216,0.003432073,23.86809499,0.541701695,104.1777662,1.478537539,63.1187228,2.250241356,50.59278324,0.409501113,0,0,138.0657681,4.463202509,154.0565774,1.163508942,45.4474363,0.241167954,0.093607293,0.000679874
3800,122537,1868.974565,63.7575107,0.067828496,3.847929523,0.00213129,167.6324234,1.118703852,67.96318163,0.42198108,18.9259404,0.157641539,21.16239927,0.037441561,0.327579156,0.003649023,24.62944657,0.556788911,105.8344108,1.493772307,64.24580079,2.280171119,51.78999295,0.4163807,0,0,139.7630912,4.501888139,159.2840562,1.199981347,46.7667411,0.246696724,0.094437231,0.000699753
3900,120152,1899.012586,65.75611583,0.068978843,4.09755516,0.002229044,169.0212697,1.127872736,68.90497702,0.428214039,19.40151431,0.161379881,22.15016174,0.038748424,0.344716655,0.00383391,25.26376365,0.570554993,107.1933523,1.506742636,65.32251331,2.306654442,52.91122292,0.423132498,0,0,141.4422623,4.539096198,164.1946034,1.234431785,47.9098567,0.251335731,0.114293582,0.000716479
4000,117893,1928.279882,67.46158787,0.069938462,4.370070922,0.002333433,170.3292995,1.136946539,69.86775667,0.435042829,19.76476674,0.164181027,23.16794,0.040160403,0.352276417,0.003931908,25.94882241,0.584919646,108.633298,1.519267225,66.38299386,2.332112509,54.03919875,0.429287162,0,0,143.3315492,4.578999464,169.1769926,1.26822503,49.02943493,0.256007363,0.173500004,0.000797213
4100,115668,1957.200471,69.35071153,0.071047609,4.615853795,0.002437432,171.6644638,1.145690697,70.89483932,0.441461624,20.24422993,0.167704002,24.16051202,0.041672674,0.367239215,0.004052405,26.64398616,0.599291391,110.1061949,1.53143938,67.38362953,2.359440631,55.15774952,0.436047367,0,0,145.1732623,4.618207179,174.1277522,1.302702221,49.98100982,0.259954089,0.176506495,0.000793292
4200,113526,1985.421718,71.00551393,0.072008469,4.818174969,0.002512424,172.9616705,1.154229019,71.89681501,0.447754521,20.61190585,0.170596253,25.13321853,0.043267441,0.374742214,0.004172361,27.21620082,0.610826983,111.5445704,1.544134168,68.43787414,2.386592111,56.28402295,0.442358139,0,0,146.8727429,4.654454497,178.8083745,1.334571695,51.22645044,0.264886764,0.18613742,0.000792129
4300,111483,2013.070731,72.53391629,0.07293786,5.061934272,0.002613301,174.1782727,1.162183961,72.73922324,0.452687804,21.02085823,0.173759743,26.00512717,0.044537335,0.40648972,0.00445472,27.8766531,0.622446638,113.0564807,1.556660213,69.37680811,2.410806337,57.32612925,0.448703128,0,0,148.4155848,4.68942526,183.5476146,1.366920637,52.45808139,0.269311312,0.200538198,0.000792609
4400,109507,2040.541934,74.37072728,0.073959021,5.240751376,0.002688892,175.3625403,1.170258945,73.65533708,0.458661682,21.46072511,0.17714559,26.96065187,0.04595189,0.414636752,0.004534239,28.58167617,0.63703918,114.3458341,1.567541253,70.36816579,2.433569495,58.23897502,0.454476724,0,0,149.9064197,4.722288388,188.5500031,1.401227799,53.50012781,0.273770118,0.200022321,0.000815888
4500,107575,2067.483907,76.12522412,0.074994188,5.476420786,0.002781803,176.5306156,1.177954864,74.60586128,0.464957219,21.83760412,0.179844676,27.84726852,0.047180673,0.412769627,0.004513927,29.14664647,0.648215461,115.6241952,1.578295729,71.31817707,2.456534673,59.29471849,0.460357743,0,0,151.3822372,4.75418255,193.7144592,1.43701621,54.50236212,0.277779852,0.209841669,0.000828456
4600,105632,2093.885982,77.76724637,0.075827039,5.727548879,0.002872264,177.5076907,1.18453529,75.48930316,0.470392318,22.29669601,0.183446534,29.01127188,0.048739706,0.416097061,0.004550473,29.81424828,0.661194879,116.8966817,1.588970797,72.31348221,2.479698403,60.29184096,0.466002347,0,0,152.9675228,4.78377499,198.8351294,1.471214139,55.57793202,0.281985001,0.23122698,0.000846633
4700,103728,2119.883246,79.43979962,0.076620174,5.95658559,0.002956763,178.6293243,1.191748552,76.30588145,0.475182024,22.67705952,0.186324445,29.97416701,0.05003742,0.448848262,0.004874259,30.43680366,0.673738387,117.9647532,1.598966485,73.16180356,2.502353263,61.31905803,0.471679931,0,0,154.4581312,4.814238392,203.4532612,1.501723259,56.71697083,0.286919954,0.252297659,0.000862699
4800,101982,2145.343016,80.94900919,0.077461377,6.191700119,0.0030467,179.6047115,1.19808586,77.19928789,0.48093566,23.11006601,0.189409445,31.06474712,0.051561541,0.467289232,0.005019728,31.00294758,0.685176251,119.2730414,1.608709751,73.94208564,2.52180504,62.28685567,0.477029684,0,0,155.9223001,4.844564399,207.6388814,1.529214364,57.71672385,0.291339424,0.250530937,0.000858067
4900,100283,2170.479558,82.53568877,0.078258823,6.433548623,0.003129083,180.5754373,1.204437429,78.02171673,0.486176963,23.39067498,0.191590581,32.0677487,0.052836979,0.470116958,0.005044403,31.6655787,0.699207063,120.4952677,1.61827835,74.82210616,2.542467668,63.26666863,0.48233566,0,0,157.2364031,4.872500147,212.5101912,1.561229853,58.68630607,0.294974044,0.251880052,0.000859478
5000,98600,2195.317367,84.22318071,0.079130581,6.699807732,0.003219037,181.6351006,1.211578369,78.81147452,0.491351918,23.83340437,0.194888186,33.00549715,0.054080347,0.477843104,0.005113731,32.29461878,0.712219132,121.6959555,1.628490533,75.68586167,2.565196438,64.34506798,0.488010818,0,0,158.6631144,4.903444677,217.3222745,1.594013827,59.76445644,0.299560746,0.257777691,0.000869602
5100,96927,2219.712211,85.84382868,0.080019027,6.915670746,0.003292718,182.6236602,1.218010016,79.69724456,0.497204191,24.24371461,0.19788688,33.95886356,0.055367253,0.488765567,0.005219243,32.84941974,0.723052244,122.7664396,1.637358452,76.52831332,2.58524318,65.35638208,0.493104929,0,0,159.7726865,4.927907702,221.9887355,1.625388807,60.7449476,0.303143964,0.270569319,0.000885046
5200,95365,2243.92879,87.67448056,0.080892331,7.105575354,0.003355054,183.5133024,1.223690404,80.40854711,0.501756877,24.69114822,0.201278495,34.92934041,0.056691969,0.499484157,0.005323494,33.48705905,0.734962257,123.8205843,1.646455975,77.3274127,2.605073195,66.24761117,0.498110452,0,0,161.1001307,4.954128415,226.306468,1.654667886,61.67241734,0.306943162,0.288218356,0.000899446
5300,93800,2267.78764,89.51362068,0.081762668,7.38562515,0.003439984,184.4465833,1.230461122,81.16201871,0.506586732,25.09476629,0.204080279,35.89951264,0.057841803,0.507332561,0.005389805,34.03674986,0.745860827,125.0582885,1.655905525,78.158217,2.624514101,67.23817148,0.502995495,0,0,162.3072614,4.9807417,230.9795958,1.685853525,62.57940262,0.310280948,0.3248955,0.000923874
5400,92221,2291.12782,91.16262819,0.082527872,7.560700854,0.003497145,185.1700887,1.235049549,81.87989848,0.511313911,25.49231007,0.206938097,36.60167112,0.058746329,0.516412295,0.005482283,34.62921952,0.757192656,125.9711944,1.662802673,78.79714789,2.640384997,68.02152223,0.507298818,0,0,163.4033498,5.003410318,234.9449262,1.711332928,63.53852963,0.313505875,0.345353461,0.000934804
5500,90867,2313.981247,92.62478999,0.083221297,7.742632645,0.003560298,185.9519346,1.240599932,82.65361594,0.516726987,25.86208825,0.209460988,37.59449335,0.060087412,0.553369947,0.005828897,35.33493667,0.771074557,127.0567824,1.670943792,79.56701151,2.658854039,68.8372871,0.511924129,0,0,164.3339806,5.023957697,239.0845885,1.736898943,64.54187285,0.317126053,0.370828576,0.000947183
5600,89443,2336.551723,94.13886074,0.083993044,8.046485849,0.003912412,186.7254298,1.245632471,83.34279205,0.521655433,26.16458462,0.211705943,38.54903851,0.061350187,0.556705004,0.005904,36.0421537,0.784233261,127.9633103,1.678196901,80.29895291,2.674754789,69.65972234,0.5161512,0,0,165.5349768,5.048880138,243.0960623,1.762921052,65.49829097,0.32050506,0.368988834,0.0009432
5700,88119,2358.999252,95.86405336,0.084668968,8.310482709,0.003982556,187.4259729,1.250289336,84.08117118,0.526233316,26.46853685,0.213940221,39.52355467,0.06273024,0.559847709,0.005949465,36.53439908,0.794121191,128.9813915,1.686109528,81.02898058,2.691668311,70.58918235,0.521080816,0,0,166.5261427,5.0684177,247.4249163,1.791033846,66.41946648,0.323520109,0.385706259,0.000969628
