Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
2700,106819,1416.495039,39.59221465,0.047202312,1.61078328,0.001056286,132.3989937,0.872283863,56.36399908,0.34652399,13.9948146,0.121005798,10.5271364,0.019591335,0.232825204,0.002304938,16.39925434,0.386142898,89.55829012,1.365006743,52.04083847,2.022935794,36.99271982,0.31478696,0,0,99.0419458,3.607419296,92.64999815,0.737345528,24.9766782,0.157298431,0.034708161,0.000396648
2800,104235,1450.755855,41.54999249,0.048636187,1.905990537,0.001203297,134.0030285,0.882953504,57.66908104,0.354063112,14.40693241,0.124073449,11.39332783,0.020868143,0.262193182,0.002564409,16.939749,0.39736284,91.41471517,1.384326814,53.37620574,2.058600145,38.34610296,0.322783989,0,0,101.4003994,3.663963444,97.17342272,0.771035986,25.82738995,0.161222206,0.039168022,0.000395036
2900,101735,1484.436325,43.65061615,0.049972582,2.128408547,0.00131349,135.6065757,0.893577902,58.80791967,0.361097616,14.8656182,0.127574495,12.21443984,0.022056905,0.281971748,0.002762403,17.60361268,0.410981736,93.47079929,1.403033588,54.51977969,2.090890674,39.5599414,0.330000459,0,0,103.6353138,3.713878764,101.7259059,0.805191939,26.79119012,0.165913776,0.038725098,0.000389056
3000,99360,1517.338781,45.66091735,0.051339759,2.395246845,0.001446058,137.2807275,0.903917733,59.90293085,0.367534923,15.40236188,0.131666227,13.00143372,0.023144553,0.310248371,0.003039259,18.29372328,0.42533667,95.46107744,1.42130708,55.62194708,2.123946458,40.72795487,0.336948781,0,0,105.6668097,3.763101799,106.3994664,0.839434257,27.79661787,0.170477219,0.038304944,0.000383467
3100,97049,1549.50843,47.57884641,0.052654591,2.589751622,0.001531709,138.7095884,0.913274815,60.94278844,0.373348099,15.90316123,0.135608455,13.94936969,0.024606404,0.318811517,0.003127428,18.98477817,0.441107829,97.28785751,1.437618534,56.68984613,2.153787631,41.82431218,0.343475403,0,0,107.6097772,3.809272412,110.6446469,0.869833924,28.6966506,0.174881535,0.039112189,0.000391332
3200,94938,1581.035427,49.46001772,0.0538609,2.852022969,0.001657111,140.1618645,0.922455933,62.00822502,0.380132506,16.35054696,0.138968806,14.88064282,0.025999774,0.336804969,0.003298047,19.55163619,0.452406086,99.1338989,1.454566902,57.79205101,2.186650651,43.18054338,0.350686403,0,0,109.4407294,3.85034418,115.1410876,0.903883253,29.49541596,0.179002899,0.039174541,0.000395266
3300,92869,1611.939561,51.3293913,0.055095491,2.997745361,0.001732576,141.5349083,0.931448699,63.18560972,0.387785402,16.82957161,0.142631593,15.7139443,0.027279436,0.356573033,0.003442126,20.22031818,0.466708101,100.7719235,1.469563224,58.93042459,2.218540819,44.28386718,0.357303062,0,0,111.4437808,3.89812515,119.5291204,0.936679842,30.62291071,0.184409893,0.038808693,0.000390162
3400,90846,1641.966386,52.87218417,0.056078497,3.173991017,0.00181447,142.8456057,0.940354515,64.32278345,0.394760463,17.30928015,0.146456959,16.63458038,0.028461584,0.382149694,0.003706076,20.92881009,0.481325486,102.4800873,1.484485228,60.09607746,2.248839842,45.47222101,0.364508796,0,0,113.0983197,3.937807438,123.8576846,0.967533671,31.66913257,0.189221503,0.043660319,0.000409451
3500,88952,1671.547382,54.53555846,0.057131014,3.376722221,0.001906847,143.9731685,0.948079116,65.33325604,0.401068524,17.76545569,0.14996118,17.51273699,0.029633577,0.400841661,0.00391886,21.65729276,0.496776384,104.1630119,1.498485349,61.03728994,2.274324653,46.59453486,0.370870849,0,0,114.7967327,3.972452164,128.2048604,0.998527541,32.68742431,0.19396512,0.043721676,0.000411713
3600,87187,1700.709017,56.32094091,0.058251376,3.597906268,0.001999328,145.147901,0.956173877,66.27497872,0.407268425,18.18470809,0.153336021,18.43841682,0.03091584,0.437830244,0.004465354,22.36842548,0.510606649,105.7990642,1.513320114,62.11073563,2.301045889,47.53311693,0.376622237,0,0,116.1355835,4.005260346,132.5306639,1.030827023,33.5473533,0.1978069,0.050785081,0.000412683
3700,85471,1729.388438,58.15140213,0.059296285,3.840283843,0.002104079,146.4011392,0.964376764,67.23954949,0.413497454,18.62634606,0.15687484,19.49356534,0.032316282,0.463645527,0.00473557,23.03864227,0.525499399,107.4182943,1.526775984,63.26891642,2.327781443,48.65476674,0.383032441,0,0,117.5936739,4.039675637,137.0483859,1.064930165,34.43279915,0.201792075,0.050392087,0.000408189
