Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
4500,370106,1960.581182,99.90561459,0.10804433,6.967790426,0.003135753,201.1493352,1.337311372,119.531524,0.764999234,46.1820358,0.361444614,44.72735435,0.075668597,0.527093907,0.005177581,62.35097137,1.413443246,156.287168,2.03341688,96.13622094,3.026505101,84.07031463,0.651226325,0,0
4600,363724,1984.253461,101.9101612,0.109250869,7.370911902,0.003275287,202.089054,1.343484736,120.6904049,0.773112877,46.9208992,0.366766446,46.21571386,0.077756589,0.562281949,0.005591601,63.77446447,1.442216738,157.950568,2.044135317,97.26066099,3.050417264,85.33402765,0.658874181,0,0
4700,357539,2007.483838,103.8416357,0.110340025,7.759553774,0.003406075,203.0042827,1.349708741,121.8742926,0.780556654,47.77298695,0.372902138,47.69438626,0.079863949,0.572165754,0.00570287,65.19417565,1.470759578,159.5463467,2.054493434,98.41805593,3.073508224,86.66621729,0.666744782,0,0
4800,351446,2030.40048,105.8602311,0.111493512,8.158246803,0.003536988,203.8456238,1.355595782,123.0008275,0.787622271,48.61787562,0.379123643,49.11975844,0.081809486,0.582318566,0.005750163,66.60367882,1.49959539,161.0829263,2.064394512,99.5171753,3.095246242,87.99413497,0.674177268,0,0
4900,345566,2052.946401,107.8644795,0.112577684,8.595156466,0.003677078,204.6585854,1.360996828,124.0477486,0.794150987,49.33756772,0.38408434,50.38777649,0.083594249,0.598847426,0.005893828,68.05168136,1.529468103,162.6260011,2.074143575,100.5806995,3.116200662,89.2609552,0.681348103,0,0
5000,339870,2075.198594,109.9465974,0.113734355,8.999718814,0.003802495,205.4458904,1.366220477,125.0921665,0.80078733,50.15655078,0.390036581,51.92358718,0.085682342,0.618152092,0.006086528,69.34321131,1.55570362,164.122401,2.083641122,101.6499182,3.137621792,90.53485009,0.688298575,0,0
5100,334324,2096.960237,111.8459818,0.114833933,9.409949995,0.003931842,206.2547737,1.371728855,126.1882928,0.80798642,51.01024024,0.396149491,53.40182449,0.087728002,0.638672031,0.006318155,70.71210642,1.58360099,165.5601486,2.092744249,102.6868769,3.15864809,91.74216865,0.695532031,0,0
5200,328831,2118.319021,113.6597157,0.115810824,9.85389644,0.004066275,207.0317798,1.376998292,127.1816688,0.814393409,51.75835368,0.401326017,54.73700306,0.089623448,0.666264966,0.006526433,72.09212178,1.612741333,166.9760755,2.10147182,103.6743877,3.177887179,92.85568163,0.702015447,0,0
5300,323674,2139.446222,115.5868506,0.116868149,10.28546332,0.00419394,207.7230509,1.38168152,128.2329275,0.820534601,52.45204174,0.406362894,56.12563366,0.091551624,0.699241652,0.006747897,73.43387577,1.6400144,168.3851671,2.109992082,104.6630701,3.196441256,94.00576245,0.708537322,0,0
5400,318563,2160.140975,117.3661865,0.117829913,10.65741335,0.004307195,208.4901377,1.386850301,129.2641655,0.827257393,53.16369783,0.411623635,57.54793398,0.09352859,0.719273405,0.006935374,74.6904341,1.665733511,169.6292936,2.118355378,105.6716399,3.215916163,95.14290246,0.715007793,0,0
5500,313601,2180.456838,119.0594769,0.118740877,11.04842856,0.004425779,209.2315289,1.391848045,130.2587294,0.83335614,53.8884857,0.416889504,58.92343407,0.095397587,0.734341341,0.007084597,76.00198871,1.691729682,170.9460605,2.127095819,106.7004063,3.236191952,96.30193586,0.721598331,0,0
5600,308648,2200.518198,120.8139041,0.119726848,11.38143683,0.004519701,209.9318301,1.396495498,131.2192539,0.839483848,54.63795234,0.422355442,60.37321641,0.097420009,0.74690692,0.00723749,77.25919929,1.71621332,172.3121423,2.135611474,107.7166898,3.256240517,97.48471664,0.728143032,0,0
5700,303838,2220.254241,122.5284634,0.120608303,11.74430586,0.004626446,210.597062,1.400871253,132.1965346,0.845660123,55.23400484,0.426736585,61.65494272,0.099160925,0.768098172,0.00737405,78.43854947,1.740391796,173.5333276,2.143447707,108.7142238,3.276062147,98.60572521,0.734366028,0,0
5800,299310,2239.60328,124.1057411,0.121422653,12.10714765,0.004722854,211.2202223,1.405165998,133.0993979,0.85131704,55.89052094,0.431478976,62.93222102,0.10091277,0.809075493,0.007732059,79.73104668,1.765630726,174.6807658,2.151082988,109.7018463,3.295087691,99.69881491,0.740552734,0,0
5900,294898,2258.849313,125.8987067,0.122392691,12.46469164,0.004822154,211.8567979,1.409571293,133.9801631,0.85692166,56.56337201,0.436266636,64.2090701,0.102639819,0.818708911,0.007799325,80.96400054,1.790175118,175.7278017,2.158256617,110.6412687,3.312779168,100.6727101,0.746259345,0,0
6000,290631,2277.807958,127.6691865,0.123290034,12.78783843,0.004911018,212.5275317,1.4141981,134.9140022,0.862916328,57.18640385,0.440746707,65.52280162,0.104475412,0.832177202,0.007905455,82.30628833,1.816637505,176.8147003,2.165703211,111.5951905,3.331564148,101.7161873,0.752374001,0,0
