Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization,
3500,"91,559",1422.428201,65.99567363,0.070525312,3.251138045,0.002155596,188.3656997,1.259017755,82.60080649,0.52519452,25.0197111,0.209126094,25.16979932,0.044632063,0.320904542,0.003667737,27.43598165,0.620611051,116.1377504,1.687632762,76.72714338,2.736139758,60.50871313,0.471443971,28.52477565,0,0
3600,"89,565",1445.189705,68.26609368,0.071858759,3.497828746,0.002263207,189.4596464,1.26590449,83.71259968,0.532083687,25.55880317,0.213000921,26.32533684,0.046415186,0.340906179,0.003858359,28.16994417,0.636476163,117.8758883,1.699210772,77.82972439,2.760259774,61.6860093,0.47793439,29.11394813,0,0
3700,"87,704",1467.485157,70.48791628,0.073237439,3.759057787,0.002373809,190.5330675,1.272784501,84.88287694,0.539552083,26.03389087,0.216487656,27.66410594,0.048281104,0.373043648,0.004255141,28.96490944,0.65287207,119.5621384,1.710110176,78.94240227,2.783839691,62.95314289,0.484979883,29.72719353,0,0
3800,"85,859",1489.273803,72.58103308,0.074451544,3.978871639,0.002465705,191.5431657,1.279371816,85.84939564,0.546445749,26.46654975,0.219615033,28.98978179,0.050179847,0.387877943,0.004404954,29.77502947,0.668963482,121.1480927,1.720359246,79.99660131,2.807654142,64.0273233,0.491266077,30.29189846,0,0
3900,"84,195",1510.666705,74.65532568,0.075543156,4.258749262,0.002571254,192.4416522,1.285162596,86.93324486,0.553352381,26.96894606,0.223256824,30.29673163,0.051934131,0.416574819,0.004690593,30.57101564,0.685875967,122.6907495,1.7302956,81.06093472,2.829124606,65.16824631,0.497551319,30.79610824,0,0
4000,"82,508",1531.490753,76.48439753,0.076596546,4.557105817,0.00268476,193.2667346,1.290078053,87.80566478,0.559299312,27.44129387,0.226923308,31.50787165,0.053599579,0.422245233,0.004766472,31.37128886,0.702902256,124.1281168,1.73938152,81.97691452,2.848750314,66.30221063,0.503637721,31.28074158,0,0
4100,"81,016",1552.015751,78.35698523,0.077596738,4.831382647,0.002801458,194.0703317,1.295507876,88.71132922,0.564873846,27.80910798,0.229464523,32.71718486,0.055253094,0.433680775,0.004865298,32.19236301,0.718006315,125.5405473,1.748573338,82.98649601,2.868076547,67.44883354,0.50962365,31.7425073,0,0
4200,"79,549",1572.108887,80.11647589,0.078568739,5.049963859,0.002892834,194.9875658,1.301497284,89.63650492,0.570516889,28.33459742,0.233348168,34.01594147,0.057021902,0.457739533,0.005080232,32.93643463,0.733157228,127.0031606,1.757793422,83.93927688,2.889196311,68.55009179,0.515536752,32.23691593,0,0
4300,"78,081",1591.942188,81.97240248,0.079581052,5.275579626,0.002982389,195.9073924,1.307704218,90.50238183,0.575814716,28.65815061,0.235785428,35.16338841,0.058507107,0.460359822,0.0051106,33.8401017,0.751017895,128.3636127,1.766365495,84.87551833,2.907792706,69.68427235,0.521623804,32.73338251,0,0
4400,"76,681",1611.726343,84.16390756,0.080667705,5.508680643,0.003069174,196.7068645,1.312788606,91.43296565,0.581572807,29.09780175,0.238857055,36.51000254,0.060320015,0.471585264,0.005226476,34.50245584,0.763555823,129.6765241,1.774603566,85.84008965,2.927316116,70.74373078,0.527170124,33.26807073,0,0
